区域,板块,项目名称,套数,开盘时间,单价,套均总价,户型,类别,社保系数,是否触发积分,入围积分,标准化积分,坐标
浦东新区,周浦,壹府澜庭,365,10/30/2021,69000,,,,0.12,触发,41.28,42.73333333,"121.558059,31.117352"
浦东新区,祝桥,公元2040,336,6/9/2021,45400,,,,0.1,触发,40.7,40.7,"121.769555,31.105503"
浦东新区,惠南,海玥瑄邸,321,4/16/2021,35055,,,,0.1,未触发,0,0,"121.719325,31.04577"
浦东新区,宣桥,海玥瑄邸,235,,40100,,,,,未触发,0,#DIV/0!,"121.719325,31.04577"
浦东新区,川沙,保利云上拾光,360,10/19/2021,45000,,,,0.1,未触发,0,0,"121.707878,31.10551"
浦东新区,川沙,保利云上拾光,780,,46300,,,,,未触发,0,#DIV/0!,"121.707878,31.10551"
浦东新区,塘桥,滨江一品苑,179,11/4/2021,111900,,,,0.23,未触发,0,28.26086957,"121.517783,31.205369"
浦东新区,世博,恒大小区,24,,68000,,,,,未触发,0,#DIV/0!,"121.51182,31.170312"
浦东新区,森兰,浦东紫薇花园,656,,67600,,,,,未触发,0,#DIV/0!,"121.586539,31.327733"
虹口,临平路,中粮瑞虹海景壹号,210,7/11/2021,115000,,,,0.23,触发,94.96,69.54782609,"121.502324,31.267797"
虹口,临平路,中粮瑞虹海景壹号,217,,115000,,,,0.23,触发,88.18,66.6,"121.502324,31.268297"
虹口,北外滩,新弘弘久北外滩,265,6/6/2021,129800,,,,0.21,触发,73.73,61.3,"121.503075,31.252926"
虹口,鲁迅公园,融创青云一号,269,7/12/2021,105000,,,,0.19,触发,71.99,61.57368421,"121.474812,31.265386"
虹口,北外滩,新弘弘久北外滩,167,,132000,,,,0.22,触发,66.5,57.5,"121.503075,31.252426"
虹口,北外滩,招商外滩玺,309,,122500,,,,0.19,触发,60.21,55.37368421,"121.49511,31.255332"
虹口,临平路,招商云玺,215,12/20/2021,118000,,,,,未触发,0,#DIV/0!,"121.492458,31.266555"
虹口,北外滩,中皇北岸锦源,344,,113000,,,,,未触发,0,#DIV/0!,"121.494681,31.254098"
金山,新城,铂翠廷,44,7/16/2021,34700,,,,0.1,触发,47.1,47.1,
金山,金山新城,金玥湾,328,4/17/2021,28849,,,,0.1,未触发,0,0,
金山,枫泾,龙信·御澜天樾,320,4/17/2021,21883,,,,0.1,未触发,0,0,
金山,枫泾,龙信·御澜天樾,310,10/12/2021,21900,,,,0.1,未触发,0,0,
金山,新城,铂翠廷,456,4/21/2021,29049,,,,0.1,未触发,0,0,
金山,枫泾,华发招商依云四季,352,6/4/2021,21000,,,,0.1,未触发,0,0,
金山,枫泾,华发招商依云四季,440,,20900,,,,,未触发,0,#DIV/0!,
金山,枫泾,华发招商依云四季,260,,21100,,,,,未触发,0,#DIV/0!,
金山,张堰镇,新华御府,334,6/6/2021,37700,,,,0.1,未触发,0,0,
金山,金山新城,建邦国宸府,234,6/11/2021,37800,,,,0.1,未触发,0,0,
金山,金山新城,碧桂园凤凰城,288,,28200,,,,,未触发,0,#DIV/0!,
金山,金山新城,碧桂园凤凰城,360,,28100,,,,,未触发,0,#DIV/0!,
金山,金山新城,碧桂园凤凰城,324,,27300,,,,,未触发,0,#DIV/0!,
金山,金水湖,复地湖畔和光,332,10/31/2021,20700,,,,0.1,未触发,0,0,
金山,金水湖,复地湖畔和光,340,,20700,,,,,未触发,0,#DIV/0!,
金山,金山新城,光明艺树家,354,,27000,,,,,未触发,0,#DIV/0!,
金山,枫泾,海玥瀜庭,298,,25200,,,,,未触发,0,#DIV/0!,
金山,枫泾,金源-梧桐印象,408,10/30/2021,21900,,,,0.1,未触发,0,0,
金山,金水湖,澜庭,136,,20400,,,,,未触发,0,#DIV/0!,
金山,朱泾,水尚华庭,550,,31900,,,,,未触发,0,#DIV/0!,
金山,金水湖,新未来樾湖,304,,20400,,,,,未触发,0,#DIV/0!,
金山,金水湖,云湖壹号,408,,21200,,,,,未触发,0,#DIV/0!,
金山,枫泾,中冶枫郡,186,,22700,,,,,未触发,0,#DIV/0!,
长宁,愚园路,愚源名邸,154,9/14/2021,125000,,,,0.18,未触发,0,22.22222222,"121.4283,31.215608"
闵行,七宝,融信旭辉世纪古美,364,7/9/2021,82500,,,,0.14,触发,72.04,65.74285714,"121.377745,31.141983"
闵行,浦江,新城·千禧公园,328,4/20/2021,40400,,,,0.1,触发,66.2,66.2,"121.508866,31.02441"
闵行,七宝,融信旭辉世纪古美,394,10/23/2021,82500,,,,0.13,触发,63.26,60.2,"121.377745,31.142483"
闵行,颛桥,华发四季半岛,274,,64000,,,,0.12,触发,62.28,60.23333333,"121.401438,31.058821"
闵行,颛桥,颛桥紫薇花园,476,,67000,,,,0.11,触发,57.37,56.7,"121.392094,31.066317"
闵行,浦江,建发浦上湾,498,3/5/2021,40400,,,,0.1,触发,56.7,56.7,"121.507247,31.0251"
闵行,颛桥,华发四季半岛,481,,64000,,,,0.12,触发,53.96,53.3,"121.401438,31.059321"
闵行,马桥,上海华府天地,192,,61000,,,,0.15,触发,50,50,"121.365372,31.040206"
闵行,颛桥,上海星河湾三期,246,4/14/2021,78280,,,,0.21,未触发,0,26.19047619,"121.411892,31.087065"
闵行,颛桥,上海星河湾三期,292,,78300,,,,,未触发,0,#DIV/0!,"121.411892,31.087565"
闵行,浦江镇,宝华源墅,224,5/27/2021,85000,,,,0.22,未触发,0,27.27272727,"121.511336,31.117739"
闵行,金虹桥,古北中央公园,226,5/30/2021,108800,,,,0.24,未触发,0,29.16666667,"121.407497,31.183309"
闵行,马桥,德信交投·隐秀云庐,251,6/29/2021,48000,,,,0.1,未触发,0,0,"121.342772,31.043766"
闵行,马桥,德信交投·隐秀云庐,142,10/29/2021,50400,,,,0.11,未触发,0,4.545454545,"121.342772,31.044266"
闵行,浦江,城开御璋,40,,100000,,,,,未触发,0,#DIV/0!,
闵行,马桥,玖玺四期,184,,50300,,,,,未触发,0,#DIV/0!,"121.345043,31.04456"
闵行,马桥,联仲都悦汇,38,,69400,,,,,未触发,0,#DIV/0!,"121.36025,31.033688"
闵行,浦江,上海桃花源,188,,147000,,,,,未触发,0,#DIV/0!,"121.493028,31.107217"
青浦,徐泾,万科天空之城,152,,58600,,,,0.11,触发,82.88,79.89090909,"121.252357,31.17566"
青浦,徐泾,上海蟠龙天地,741,10/2/2021,61500,,,,0.11,触发,81.23,78.39090909,"121.278004,31.188091"
青浦,徐泾,虹桥悦澜,161,6/2/2021,61300,,,,0.12,触发,78.36,73.63333333,"121.28379,31.184841"
青浦,徐泾,万科天空之城,256,7/14/2021,58600,,,,0.12,触发,76.52,72.1,"121.252357,31.17616"
青浦,徐泾,金地虹悦湾,64,,61000,,,,0.11,触发,74.08,71.89090909,"121.316583,31.167123"
青浦,赵巷,金臣颐墅,124,10/29/2021,77800,,,,0.2,触发,74,62,"121.219196,31.140159"
青浦,徐泾,远洋虹桥万和源,279,11/12/2021,60300,,,,0.1,触发,72.1,72.1,"121.24977,31.181804"
青浦,徐泾,远洋虹桥万和源,320,7/13/2021,60300,,,,0.12,触发,66,63.33333333,"121.24977,31.182304"
青浦,徐泾,招商虹桥公馆,272,4/21/2021,60100,,,,0.11,触发,65.39,63.99090909,"121.253052,31.181631"
青浦,新城,佳兆业金茂未来城,358,6/1/2021,44000,,,,0.1,触发,63.6,63.6,"121.133077,31.160778"
青浦,徐泾,招商虹桥公馆,276,6/10/2021,60100,,,,0.11,触发,62.65,61.5,"121.253052,31.182131"
青浦,新城,佳兆业金茂未来城,294,11/10/2021,44000,,,,0.1,触发,62.3,62.3,"121.133077,31.161278"
青浦,徐泾,金地虹悦湾,359,5/30/2021,64900,,,,0.12,触发,62.16,60.13333333,"121.316583,31.167623"
青浦,新城,上善水樾,72,,49500,,,,0.1,触发,59.4,59.4,"121.112849,31.162166"
青浦,青浦新城,盛青云驰,352,,43900,,,,0.1,触发,59,59,"121.087472,31.133806"
青浦,新城,上善水樾,132,,41500,,,,0.1,触发,57.5,57.5,"121.112849,31.162666"
青浦,新城,宝业·活力天地,187,4/22/2021,43100,,,,0.1,触发,57.4,57.4,"121.086299,31.13133"
青浦,新城,中环境秋月,224,5/13/2021,41500,,,,0.1,触发,50.5,50.5,"121.059474,31.128429"
青浦,徐泾,安澜西郊宽境,50,7/18/2021,69300,,,,0.24,触发,50,50,"121.294028,31.155064"
青浦,朱家角,璟云里,275,6/11/2021,37700,,,,0.11,触发,35.72,37.01818182,"121.025777,31.110254"
青浦,徐泾,招商虹桥公馆,335,,60100,,,,0.11,未触发,0,4.545454545,"121.253052,31.182631"
青浦,新城,中环境秋月,321,,39500,,,,0.1,未触发,0,0,"121.059474,31.128429"
青浦,新城,中环境秋月,378,,42000,,,,0.1,未触发,0,0,"121.059474,31.128929"
青浦,新城,首创·禧悦芳菲,524,4/16/2021,45126,,,,0.1,未触发,0,0,"121.079622,31.131307"
青浦,徐泾,金地虹悦湾,320,,61000,,,,0.12,未触发,0,8.333333333,"121.316583,31.167623"
青浦,朱家角,璟云里,176,,38800,,,,0.11,未触发,0,4.545454545,"121.025777,31.110754"
青浦,朱家角,大名城映湖,348,,39600,,,,,未触发,0,#DIV/0!,"121.060469,31.127212"
青浦,朱家角,大名城映湖,238,,39600,,,,,未触发,0,#DIV/0!,"121.060469,31.127712"
青浦,徐泾,俊灿星城星尚庭,473,,62500,,,,0.1,未触发,0,0,"121.274988,31.166409"
青浦,徐泾,俊灿星城星愿里,30,,62500,,,,0.1,未触发,0,0,"121.274988,31.166909"
青浦,徐泾,御品园林,74,,80700,,,,,未触发,0,#DIV/0!,"121.268167,31.152699"
静安,西藏北路,龙盛福新里,119,7/13/2021,132000,,,,0.24,触发,82.8,63.66666667,"121.464376,31.242164"
静安,西藏北路,新湖上海青蓝,255,,114800,,,,0.2,触发,50.6,50.3,"121.4736,31.26283"
静安,西藏北路,中兴路一号,300,6/1/2021,129800,,,,0.19,未触发,0,23.68421053,"121.475257,31.256942"
静安,西藏北路,铭德传奇·漪景庭,20,5/30/2021,129000,,,,0.24,未触发,0,29.16666667,"121.4698,31.250629"
静安,西藏北路,宝珀公寓,299,10/28/2021,112000,,,,0.18,未触发,0,22.22222222,"121.479558,31.255471"
静安,西藏北路,安康苑,309,,128800,,,,0.23,未触发,0,28.26086957,"121.478482,31.249666"
